******* Consolidated Results ********
Params(neu=[128, 64, 32, 16], act=['relu', 'relu', 'sigmoid', 'sigmoid'], eph=220, bs=30, score=0.89775)
Params(neu=[128, 64, 32, 16], act=['relu', 'relu', 'sigmoid', 'sigmoid'], eph=220, bs=25, score=0.89468)
Params(neu=[200, 100, 50, 25], act=['relu', 'relu', 'sigmoid', 'sigmoid'], eph=220, bs=25, score=0.88241)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=50, score=0.89366)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=30, score=0.89366)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=20, score=0.88957)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=150, bs=30, score=0.88753)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=25, score=0.88753)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=25, score=0.88650)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=50, score=0.88650)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=50, score=0.88650)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=180, bs=30, score=0.88548)
Params(neu=[36, 24, 12], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=20, score=0.88548)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=180, bs=50, score=0.88548)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=150, bs=25, score=0.88446)
Params(neu=[24, 24, 24], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=20, score=0.88446)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=200, bs=30, score=0.88446)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=20, score=0.88344)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=200, bs=50, score=0.88241)
Params(neu=[24, 24, 12], act=['relu', 'relu', 'relu'], eph=120, bs=25, score=0.88241)
Params(neu=[36, 24, 12], act=['relu', 'relu', 'relu'], eph=200, bs=30, score=0.88139)
Params(neu=[64, 32, 16], act=['relu', 'relu', 'relu'], eph=200, bs=20, score=0.88139)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=200, bs=25, score=0.88139)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=180, bs=20, score=0.88037)
Params(neu=[64, 32, 16], act=['relu', 'sigmoid', 'sigmoid'], eph=180, bs=20, score=0.87935)
Params(neu=[100, 50, 25], act=['relu', 'relu', 'relu'], eph=180, bs=25, score=0.87935)
Params(neu=[100, 50, 25], act=['relu', 'sigmoid', 'sigmoid'], eph=120, bs=50, score=0.87935)
